Author,FileNumber,Title,Tag,
Martin Luther,31604,"Works of Martin Luther, with Introductions and Notes (Volume I)",Reformation,ftp://aleph.gutenberg.org/  
Martin Luther,34904,"Works of Martin Luther, with Introductions and Notes (Volume II)",Reformation,
Martin Luther,1670,The Small Catechism of Martin Luther,Reformation,
Martin Luther,9841,Selections from the Table Talk of Martin Luther,Reformation,
Martin Luther,1549,Commentary on the Epistle to the Galatians,Reformation,
Martin Luther,1911,"Concerning Christian Liberty
       With Letter Of Martin Luther To Pope Leo X.",Reformation,
Martin Luther,418,A Treatise on Good Works,Reformation,
Martin Luther,48193,"Commentary on Genesis, Vol. I
       Luther on the Creation",Reformation,
Martin Luther,27978,"Commentary on Genesis, Vol. II
       Luther on Sin and the Flood",Reformation,
Martin Luther,272,An Open Letter on Translating,Reformation,
Martin Luther,28464,"Epistle Sermons, Vol. II
       Epiphany, Easter and Pentecost",Reformation,
Martin Luther,29678,The Epistles of St. Peter and St. Jude Preached and Explained,Reformation,
Martin Luther,30619,"Epistle Sermons, Vol. III
       Trinity Sunday to Advent",Reformation,
John Calvin,45001,Institutes of the Christian Religion (Vol. 1 of 2),Reformation,
John Calvin,45423,"Letters of John Calvin, Volume I ",Reformation,
John Calvin,45463,"Letters of John Calvin, Volume 2",Reformation,
Philipp Melanchthon,275,The Augsburg Confession,Reformation,
Philipp Melanchthon,6744,The Apology of the Augsburg Confession,Reformation,
Heinrich Bullinger,25144,A treatise of the cohabitacyon of the faithfull with the vnfaithfull,Reformation,
John Knox,9660,The First Blast of the Trumpet against the monstrous regiment of Women,Reformation,
John Knox,21938,"The Works of John Knox, Volume 1",Reformation,
John Knox,40886,"The Works of John Knox, Volume 2",Reformation,
Thomas Cromwell,49086,Life and Letters of Thomas Cromwell,Reformation,
William Tyndale,10553,The first New Testament printed in English,Reformation,
William Tyndale,39703,The First Boke of Moses called Genesis,Reformation,
William Tyndale,24890,The prophete Ionas with an introduccion,Reformation,
William Tyndale,27654,The Story Of The Prophet Jonas,Reformation,
Hugh Latimer,2458,"Sermons on the Card, and Other Discourses",Reformation,
Charles Spurgeon,42558,The Art of Illustration,,
Charles Spurgeon,42518,Talks to Farmers,,
Charles Spurgeon,42657,Gleanings among the Sheaves,,
John Bunyan,131,The Pilgrim's Progress from this world to that which is to come,Puritan,
John Bunyan,654,Grace Abounding to the Chief of Sinners,Puritan,
John Bunyan,395,The Holy War,Puritan,
John Bunyan,1986,Life and Death of Mr. Badman,Puritan,
John Bunyan,3548,The Pharisee and the Publican,Puritan,
John Bunyan,3614,An Exhortation to Peace and Unity,Puritan,
John Bunyan,3270,"The Jerusalem Sinner Saved; or, Good News for the Vilest of Men",Puritan,
John Bunyan,13750,"The Heavenly Footman; Or, A Description of the Man That Gets to Heaven",Puritan,
William Bradford,24950,Bradford's History of 'Plimoth Plantation',Puritan,
Jonathan Edwards,34632,Selected Sermons of Jonathan Edwards,Puritan,
Cotton Mather,28513,The Wonders of the Invisible World,Puritan,
Richard Baxter,41633,"A Christian Directory, Part 1: Christian Ethics",Puritan,
Richard Baxter,43800,"A Christian Directory, Part 2: Christian Economics",Puritan,
Richard Baxter,44655,"A Christian Directory, Part 3: Christian Ecclesiastics",Puritan,
Richard Baxter,43967,"A Christian Directory, Part 4: Christian Politics",Puritan,
Richard Baxter,58135,The Saint's Everlasting Rest,Puritan,
Richard Sibbes,,,,
